,y,y_hat,dummy
2017-02-11,179.0,154.68499809011143,215.966618287373
2017-02-12,148.0,143.53421040152128,215.9599129330673
2017-02-13,169.0,152.60008707388192,215.9475879579253
2017-02-14,155.0,155.6393963085923,215.93907524932004
2017-02-15,150.0,156.11974808845324,215.92802755620013
2017-02-16,182.0,161.10464534629435,215.91607757839407
2017-02-17,191.0,160.84115879398794,215.90993113446902
2017-02-18,170.0,157.20275289246473,215.90541764812465
2017-02-19,166.0,150.69055641942106,215.89710144927537
2017-02-20,149.0,162.5717352267522,215.88806375656583
2017-02-21,164.0,162.34360470771958,215.8759507424846
2017-02-22,144.0,158.68362264965688,215.86655803005613
2017-02-23,122.0,160.74864077158847,215.85354815351195
2017-02-24,155.0,159.80835307334334,215.83656108597285
2017-02-25,122.0,152.45687301696688,215.8255519363011
2017-02-26,126.0,143.1178200884932,215.80857608105663
2017-02-27,143.0,148.70157975843827,215.79232995658467
2017-02-28,151.0,152.0431397483665,215.77916440586
2017-03-01,141.0,146.90993723736983,215.76745027124775
2017-03-02,136.0,142.8403124545052,215.75393238112457
2017-03-03,163.0,152.2452929244116,215.73951554591468
2017-03-04,138.0,145.22223650422276,215.72998373395987
2017-03-05,144.0,146.20774190881616,215.7159378388146
2017-03-06,166.0,151.28618668452197,215.7029810298103
2017-03-07,156.0,151.38192784033217,215.6940028901734
2017-03-08,143.0,148.11186570721017,215.6832219613509
2017-03-09,154.0,148.13502090817772,215.67009750812568
2017-03-10,157.0,157.06109080191936,215.65896371186136
2017-03-11,133.0,153.6032381101197,215.64837545126355
2017-03-12,99.0,149.546715991262,215.63345966432053
2017-03-13,123.0,149.1361395604973,215.6124142908697
2017-03-14,98.0,150.0800531668787,215.59570629622948
2017-03-15,136.0,137.26609934301135,215.57449494949495
2017-03-16,149.0,141.49882263787157,215.56014427412083
2017-03-17,152.0,150.03874847052595,215.54814280562567
2017-03-18,137.0,147.55301750609277,215.5366864972057
2017-03-19,101.0,137.36097083288286,215.5225306416727
2017-03-20,135.0,142.0982936353021,215.50189223283473
2017-03-21,141.0,136.03049887327919,215.4873873873874
2017-03-22,144.0,145.19429320593704,215.47396865429653
2017-03-23,130.0,144.03964999235683,215.46109510086455
2017-03-24,161.0,152.6323403480451,215.4457050243112
2017-03-25,152.0,141.62045306708254,215.43590205257473
2017-03-26,157.0,141.64415505923625,215.42448244824482
2017-03-27,150.0,147.28782768843215,215.4139668826494
2017-03-28,151.0,146.0102117043944,215.40219542918842
2017-03-29,168.0,154.8280587446833,215.39060813242173
2017-03-30,166.0,150.69170648447061,215.38208310847276
2017-03-31,180.0,166.59141399508988,215.37320143884892
2017-04-01,187.0,152.4652408744408,215.3668404963136
2017-04-02,144.0,155.66643905865786,215.36174038115786
2017-04-03,158.0,153.09658886640628,215.34891245730722
2017-04-04,133.0,152.36242645374998,215.33860531991374
2017-04-05,151.0,155.70688338660318,215.32380952380953
2017-04-06,165.0,151.31053422279302,215.31225296442688
2017-04-07,162.0,169.23963087231178,215.30321537632477
2017-04-08,157.0,154.6851817096689,215.2936422413793
